FATALITY_ID,EVENT_ID,FATALITY_TYPE,FATALITY_DATE,FATALITY_AGE,FATALITY_SEX,FATALITY_LOCATION
36179,786744,I,11/25/2018 00:00:00,78,M,Vehicle/Towed Trailer
36181,788617,I,11/17/2018 00:00:00,38,F,Vehicle/Towed Trailer
36470,789509,I,11/28/2018 00:00:00,54,M,Vehicle/Towed Trailer
36825,792470,I,11/17/2018 00:00:00,48,M,Permanent Home
36827,791728,D,11/25/2018 00:00:00,37,F,Outside/Open Areas
36829,788886,I,11/09/2018 00:00:00,19,M,Vehicle/Towed Trailer
36830,792571,D,11/04/2018 00:00:00,46,M,In Water
36831,792571,D,11/04/2018 00:00:00,52,F,In Water
36832,792641,I,11/07/2018 00:00:00,78,M,Vehicle/Towed Trailer
36853,793520,I,11/14/2018 00:00:00,76,F,Vehicle/Towed Trailer
36854,793520,I,11/14/2018 00:00:00,61,F,Vehicle/Towed Trailer
35165,737466,D,01/21/2018 00:00:00,,M,In Water
35173,737542,D,03/24/2018 00:00:00,,M,In Water
35659,767747,D,08/02/2018 00:00:00,47,M,In Water
35660,767747,D,08/02/2018 00:00:00,17,M,In Water
37658,767750,D,08/05/2018 00:00:00,53,M,In Water
35662,767801,D,08/05/2018 00:00:00,30,M,In Water
35663,767803,D,08/01/2018 00:00:00,18,F,In Water
35664,767805,D,08/05/2018 00:00:00,50,M,In Water
37660,774666,D,09/03/2018 00:00:00,,M,In Water
36162,785090,D,09/04/2018 00:00:00,2,F,Mobile/Trailer Home
36106,785711,I,09/17/2018 00:00:00,73,M,Unknown
36108,785715,I,09/14/2018 00:00:00,86,F,Permanent Home
36109,785715,I,09/14/2018 00:00:00,86,M,Permanent Home
36110,785716,I,09/14/2018 00:00:00,81,M,Unknown
36101,786266,D,09/16/2018 00:00:00,73,M,Vehicle/Towed Trailer
36102,786266,D,09/17/2018 00:00:00,65,M,Vehicle/Towed Trailer
36104,786268,D,09/17/2018 00:00:00,52,M,Vehicle/Towed Trailer
36132,786315,I,09/22/2018 00:00:00,87,M,Unknown
37382,786913,D,10/14/2018 00:00:00,11,M,In Water
37383,786913,D,10/14/2018 00:00:00,16,M,In Water
37562,788675,D,11/08/2018 00:00:00,,,Unknown
37563,788675,D,11/08/2018 00:00:00,,,Unknown
37564,788675,D,11/08/2018 00:00:00,,,Unknown
37565,788675,D,11/08/2018 00:00:00,,,Unknown
37566,788675,D,11/08/2018 00:00:00,,,Unknown
37567,788675,D,11/08/2018 00:00:00,,,Unknown
37568,788675,D,11/08/2018 00:00:00,,,Unknown
37569,788675,D,11/08/2018 00:00:00,,,Unknown
37570,788675,D,11/08/2018 00:00:00,,,Unknown
37571,788675,D,11/08/2018 00:00:00,,,Unknown
37572,788675,D,11/08/2018 00:00:00,,,Unknown
37574,788675,D,11/08/2018 00:00:00,,,Unknown
37575,788675,D,11/08/2018 00:00:00,,,Unknown
37577,788675,D,11/08/2018 00:00:00,,,Unknown
37578,788675,D,11/08/2018 00:00:00,,,Unknown
37579,788675,D,11/08/2018 00:00:00,,,Unknown
37580,788675,D,11/08/2018 00:00:00,,,Unknown
37581,788675,D,11/08/2018 00:00:00,,,Unknown
37582,788675,D,11/08/2018 00:00:00,,,Unknown
37583,788675,D,11/08/2018 00:00:00,,,Unknown
37585,788675,D,11/08/2018 00:00:00,,,Unknown
37586,788675,D,11/08/2018 00:00:00,,,Unknown
37587,788675,D,11/08/2018 00:00:00,,,Unknown
37588,788675,D,11/08/2018 00:00:00,,,Unknown
37589,788675,D,11/08/2018 00:00:00,,,Unknown
37590,788675,D,11/08/2018 00:00:00,,,Unknown
37591,788675,D,11/08/2018 00:00:00,,,Unknown
37592,788675,D,11/08/2018 00:00:00,,,Unknown
37593,788675,D,11/08/2018 00:00:00,,,Unknown
37594,788675,D,11/08/2018 00:00:00,,,Unknown
37595,788675,D,11/08/2018 00:00:00,,,Unknown
37597,788675,D,11/08/2018 00:00:00,,,Unknown
37598,788675,D,11/08/2018 00:00:00,,,Unknown
37599,788675,D,11/08/2018 00:00:00,,,Unknown
37600,788675,D,11/08/2018 00:00:00,,,Unknown
37601,788675,D,11/08/2018 00:00:00,,,Unknown
37602,788675,D,11/08/2018 00:00:00,,,Unknown
37603,788675,D,11/08/2018 00:00:00,,,Unknown
37604,788675,D,11/08/2018 00:00:00,,,Unknown
37605,788675,D,11/08/2018 00:00:00,,,Unknown
37606,788675,D,11/08/2018 00:00:00,,,Unknown
37608,788675,D,11/08/2018 00:00:00,,,Unknown
37610,788675,D,11/08/2018 00:00:00,,,Unknown
37611,788675,D,11/08/2018 00:00:00,,,Unknown
37612,788675,D,11/08/2018 00:00:00,,,Unknown
37613,788675,D,11/08/2018 00:00:00,,,Unknown
37614,788675,D,11/08/2018 00:00:00,,,Unknown
37615,788675,D,11/08/2018 00:00:00,,,Unknown
37616,788675,D,11/08/2018 00:00:00,,,Unknown
37617,788675,D,11/08/2018 00:00:00,,,Unknown
37618,788675,D,11/08/2018 00:00:00,,,Unknown
37620,788675,D,11/08/2018 00:00:00,,,Unknown
37621,788675,D,11/08/2018 00:00:00,,,Unknown
37622,788675,D,11/08/2018 00:00:00,,,Unknown
37623,788675,D,11/08/2018 00:00:00,,,Unknown
37624,788675,D,11/08/2018 00:00:00,,,Unknown
37625,788675,D,11/08/2018 00:00:00,,,Unknown
37626,788675,D,11/08/2018 00:00:00,,,Unknown
37627,788675,D,11/08/2018 00:00:00,,,Unknown
37628,788675,D,11/08/2018 00:00:00,,,Unknown
37629,788675,D,11/08/2018 00:00:00,,,Unknown
37630,788675,D,11/08/2018 00:00:00,,,Unknown
37632,788675,D,11/08/2018 00:00:00,,,Unknown
37633,788675,D,11/08/2018 00:00:00,,,Unknown
37634,788675,D,11/08/2018 00:00:00,,,Unknown
